timestamp,model_name,request_count
2025-06-07 20:53:29,vit16,1
2025-06-07 20:53:30,efficientnetb0,2
2025-06-07 20:53:30,resnet18,2
2025-06-07 20:53:30,vit16,5
2025-06-07 20:53:31,efficientnetb0,4
2025-06-07 20:53:31,resnet18,4
2025-06-07 20:53:31,vit16,9
2025-06-07 20:53:32,efficientnetb0,6
2025-06-07 20:53:32,resnet18,6
2025-06-07 20:53:32,vit16,13
2025-06-07 20:53:33,efficientnetb0,8
2025-06-07 20:53:33,resnet18,8
2025-06-07 20:53:33,vit16,17
2025-06-07 20:53:34,resnet18,10
2025-06-07 20:53:34,vit16,21
2025-06-07 20:53:34,efficientnetb0,10
2025-06-07 20:53:35,efficientnetb0,12
2025-06-07 20:53:35,resnet18,12
2025-06-07 20:53:35,vit16,25
2025-06-07 20:53:36,efficientnetb0,14
2025-06-07 20:53:36,resnet18,14
2025-06-07 20:53:36,vit16,29
2025-06-07 20:53:37,resnet18,16
2025-06-07 20:53:37,efficientnetb0,16
2025-06-07 20:53:37,vit16,33
2025-06-07 20:53:38,efficientnetb0,18
2025-06-07 20:53:38,resnet18,18
2025-06-07 20:53:38,vit16,37
2025-06-07 20:53:39,resnet18,20
2025-06-07 20:53:39,vit16,41
2025-06-07 20:53:39,efficientnetb0,20
2025-06-07 20:53:40,vit16,45
2025-06-07 20:53:40,resnet18,22
2025-06-07 20:53:40,efficientnetb0,22
2025-06-07 20:53:41,efficientnetb0,24
2025-06-07 20:53:41,resnet18,24
2025-06-07 20:53:41,vit16,49
2025-06-07 20:53:42,efficientnetb0,26
2025-06-07 20:53:42,resnet18,26
2025-06-07 20:53:42,vit16,53
2025-06-07 20:53:43,efficientnetb0,28
2025-06-07 20:53:43,resnet18,28
2025-06-07 20:53:43,vit16,57
2025-06-07 20:53:44,efficientnetb0,30
2025-06-07 20:53:44,resnet18,30
2025-06-07 20:53:44,vit16,61
2025-06-07 20:53:45,resnet18,16
2025-06-07 20:53:45,vit16,65
2025-06-07 20:53:45,efficientnetb0,32
2025-06-07 20:53:46,efficientnetb0,34
2025-06-07 20:53:46,resnet18,34
2025-06-07 20:53:46,vit16,69
2025-06-07 20:53:47,efficientnetb0,36
2025-06-07 20:53:47,resnet18,36
2025-06-07 20:53:47,vit16,73
2025-06-07 20:53:48,resnet18,38
2025-06-07 20:53:48,efficientnetb0,38
2025-06-07 20:53:48,vit16,77
2025-06-07 20:53:49,efficientnetb0,40
2025-06-07 20:53:49,resnet18,40
2025-06-07 20:53:49,vit16,81
2025-06-07 20:53:50,resnet18,42
2025-06-07 20:53:50,vit16,85
2025-06-07 20:53:50,efficientnetb0,42
2025-06-07 20:53:51,vit16,89
2025-06-07 20:53:51,resnet18,44
2025-06-07 20:53:51,efficientnetb0,44
2025-06-07 20:53:52,efficientnetb0,23
2025-06-07 20:53:52,resnet18,46
2025-06-07 20:53:52,vit16,93
2025-06-07 20:53:53,efficientnetb0,48
2025-06-07 20:53:53,resnet18,48
2025-06-07 20:53:53,vit16,97
2025-06-07 20:53:54,efficientnetb0,50
2025-06-07 20:53:54,resnet18,50
2025-06-07 20:53:54,vit16,100
2025-06-07 20:53:55,efficientnetb0,58
2025-06-07 20:53:55,resnet18,50
2025-06-07 20:53:55,vit16,100
2025-06-07 20:53:56,resnet18,50
2025-06-07 20:53:56,vit16,100
2025-06-07 20:53:56,efficientnetb0,67
2025-06-07 20:53:57,efficientnetb0,69
2025-06-07 20:53:57,resnet18,50
2025-06-07 20:53:57,vit16,100
2025-06-07 20:53:58,efficientnetb0,63
2025-06-07 20:53:58,resnet18,50
2025-06-07 20:53:58,vit16,100
2025-06-07 20:53:59,resnet18,50
2025-06-07 20:53:59,efficientnetb0,53
2025-06-07 20:53:59,vit16,100
2025-06-07 20:54:00,efficientnetb0,19
2025-06-07 20:54:00,resnet18,50
2025-06-07 20:54:00,vit16,100
2025-06-07 20:54:01,resnet18,50
2025-06-07 20:54:01,vit16,100
2025-06-07 20:54:01,efficientnetb0,32
2025-06-07 20:54:02,vit16,100
2025-06-07 20:54:02,resnet18,50
2025-06-07 20:54:02,efficientnetb0,30
2025-06-07 20:54:03,efficientnetb0,36
2025-06-07 20:54:03,resnet18,50
2025-06-07 20:54:03,vit16,100
2025-06-07 20:54:04,efficientnetb0,47
2025-06-07 20:54:04,resnet18,50
2025-06-07 20:54:04,vit16,100
2025-06-07 20:54:05,efficientnetb0,58
2025-06-07 20:54:05,resnet18,50
2025-06-07 20:54:05,vit16,100
2025-06-07 20:54:06,efficientnetb0,67
2025-06-07 20:54:06,resnet18,50
2025-06-07 20:54:06,vit16,100
2025-06-07 20:54:07,resnet18,50
2025-06-07 20:54:07,vit16,100
2025-06-07 20:54:07,efficientnetb0,69
2025-06-07 20:54:08,efficientnetb0,63
2025-06-07 20:54:08,resnet18,50
2025-06-07 20:54:08,vit16,100
2025-06-07 20:54:09,efficientnetb0,53
2025-06-07 20:54:09,resnet18,50
2025-06-07 20:54:09,vit16,100
2025-06-07 20:54:10,resnet18,50
2025-06-07 20:54:10,efficientnetb0,41
2025-06-07 20:54:10,vit16,100
2025-06-07 20:54:11,efficientnetb0,32
2025-06-07 20:54:11,resnet18,50
2025-06-07 20:54:11,vit16,100
2025-06-07 20:54:12,resnet18,50
2025-06-07 20:54:12,vit16,100
2025-06-07 20:54:12,efficientnetb0,30
2025-06-07 20:54:13,resnet18,50
2025-06-07 20:54:13,vit16,100
2025-06-07 20:54:13,efficientnetb0,36
2025-06-07 20:54:14,efficientnetb0,47
2025-06-07 20:54:14,resnet18,50
2025-06-07 20:54:14,vit16,100
2025-06-07 20:54:15,efficientnetb0,30
2025-06-07 20:54:15,resnet18,50
2025-06-07 20:54:15,vit16,100
2025-06-07 20:54:16,efficientnetb0,67
2025-06-07 20:54:16,resnet18,50
2025-06-07 20:54:16,vit16,100
2025-06-07 20:54:17,efficientnetb0,69
2025-06-07 20:54:17,resnet18,50
2025-06-07 20:54:17,vit16,100
2025-06-07 20:54:18,resnet18,50
2025-06-07 20:54:18,vit16,100
2025-06-07 20:54:18,efficientnetb0,63
2025-06-07 20:54:19,efficientnetb0,53
2025-06-07 20:54:19,resnet18,50
2025-06-07 20:54:19,vit16,100
